concern,alfa,bravo,charlie
"Uncorrected v15->v22 version search over fixed held-out splits inflates every headline held-out number (0.988, 0.918 are best-of-k); no p-values, no strict never-seen test split",True,True,True
'Zero-shot held-out' concepts overlap training set (chinese/muslim both sides at AUROC 1.0; gender claimed 'no positive' but trained); in/out-of-family taxonomy is post-hoc and undefined,True,True,True
"Sole oracle held-out architecture (Llama-3-8B) shares Llama-style family with SmolLM2/3 in the verbalization pool; oracle pool is 5/7 Qwen, so architecture-invariance is not established",True,False,False
"Shuffle causal ablation (0.525, no CI) does not rule out fine-tune-artifact / surface-style confound; needs a cross-category or within-concept shuffle control",True,True,True
"Verbalization 'parity' rests on n=100 with CIs spanning near-chance (49% [42,62], 46% [36,55]); no equivalence test; CI also miscalibrated vs Wilson",True,True,True
No verbalization-zeroing ablation; text-inversion threat (AV reads passage text not activation) unaddressed and arXiv:2509.13316 uncited,False,True,True
"Synthetic-to-real gap (mean AUROC 0.60, chinese inverts to 0.40, clean-FP 0.14-0.24) is a construct-validity failure; safety-auditing language in abstract overclaims real-world capability",True,True,False
No quantitative head-to-head against concurrent competitor UAV (arXiv:2605.25903) despite asserted closed-form vs trained-adapter advantage,False,True,True
Cross-paper '2.3x per-model NLA FVE' ratio is uncontrolled (different depth/corpus/normalization/trunk),False,True,False
Karvonen et al. head-to-head (0.887 vs 0.859) mixes AUROC with accuracy at an unspecified threshold and unspecified n,False,True,False
"Model-organism construction underspecified; fine-tuned vs prompt-induced not separated (prompt-induced would mean detecting a context token, not a weight-level latent property)",False,False,True
4-bit-quantized target in the LatentQA comparison is buried; mid-layer residual geometry shift confounds the 0.573 result and the Karvonen comparison,False,False,True
rugpt3-large FVE 0.995 outlier drives headline 0.789 held-out mean (vs 0.738 excl.); high-compressibility hypothesis stated but not tested; 0.738 buried in prose,True,False,False
